"pagename","projectcode","year","month","day","hour","bytes","pageviews","rawTokens","tokens","hour_rank"
special geolite,meta.m,2009,12,14,10,22037282,29228,"WrappedArray(special, geolit)","WrappedArray(special, geolit)",17
wikip dia accueil principal,fr,2009,12,14,10,388650164,25073,"WrappedArray(wikip, dia, accueil, princip)","WrappedArray(wikip, dia, accueil, princip)",18
"",bg,2009,12,14,10,13922858,24627,WrappedArray(),WrappedArray(),19
hauptseite,de,2009,12,14,10,385783824,24427,WrappedArray(hauptseit),WrappedArray(hauptseit),20
category,ja,2009,12,14,10,1286462,23842,WrappedArray(categori),WrappedArray(categori),21
"",uk,2009,12,14,10,22992081,20355,WrappedArray(),WrappedArray(),22
"",el,2009,12,14,10,8886159,18215,WrappedArray(),WrappedArray(),23
special export 22222,ar,2009,12,14,10,10828114,17688,"WrappedArray(special, export, 22222)","WrappedArray(special, export, 22222)",24
export,ja,2009,12,14,10,24836,17416,WrappedArray(export),WrappedArray(export),25
strona g  wna,pl,2009,12,14,10,376745387,16521,"WrappedArray(strona, wna)","WrappedArray(strona, wna)",26
spezial zuf llige seite,de,2009,12,14,10,9797911,14189,"WrappedArray(spezial, zuf, llige, seit)","WrappedArray(spezial, zuf, llige, seit)",27
wikipedia portada,es,2009,12,14,10,257197681,14005,"WrappedArray(wikipedia, portada)","WrappedArray(wikipedia, portada)",28
spezial suche,de,2009,12,14,10,68477508,13723,"WrappedArray(spezial, such)",WrappedArray(spezial),29
search,ja,2009,12,14,10,39694463,12017,WrappedArray(search),WrappedArray(search),30
special export 746 718 55,ar,2009,12,14,10,6201224,10048,"WrappedArray(special, export, 746, 718, 55)","WrappedArray(special, export, 746, 718, 55)",31
hoofdpagina,nl,2009,12,14,10,243661984,9295,WrappedArray(hoofdpagina),WrappedArray(hoofdpagina),32
special search,fr,2009,12,14,10,53809951,8589,"WrappedArray(special, search)","WrappedArray(special, search)",33
special search,ru,2009,12,14,10,42469504,8318,"WrappedArray(special, search)","WrappedArray(special, search)",34
portal huvudsida,sv,2009,12,14,10,168611808,8133,"WrappedArray(portal, huvudsida)","WrappedArray(portal, huvudsida)",35
accueil,fr,2009,12,14,10,120690562,7929,WrappedArray(accueil),WrappedArray(accueil),36
"",sr,2009,12,14,10,10404083,7506,WrappedArray(),WrappedArray(),37
"",bg.d,2009,12,14,10,220692,7365,WrappedArray(),WrappedArray(),38
recentchangeslinked,uk,2009,12,14,10,125374,7112,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),39
hlavn  strana,cs,2009,12,14,10,147742872,6471,"WrappedArray(hlavn, strana)","WrappedArray(hlavn, strana)",40
"",mk,2009,12,14,10,1942953,6289,WrappedArray(),WrappedArray(),41
special search,es,2009,12,14,10,38417128,6189,"WrappedArray(special, search)","WrappedArray(special, search)",42
"",te,2009,12,14,10,774972,6111,WrappedArray(),WrappedArray(),43
search,en,2009,12,14,10,3908326,6001,WrappedArray(search),WrappedArray(search),44
search,ru,2009,12,14,10,27822164,5938,WrappedArray(search),WrappedArray(search),45
"",en,2009,12,14,10,2487843,5739,WrappedArray(),WrappedArray(),46
recentchangeslinked,hi,2009,12,14,10,138913,5638,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),47
hovedside,no,2009,12,14,10,73981499,5598,WrappedArray(hovedsid),WrappedArray(hovedsid),48
one piece,ja,2009,12,14,10,81676157,5575,"WrappedArray(one, piec)",WrappedArray(piec),49
speciale ricerca,it,2009,12,14,10,21816000,5263,"WrappedArray(special, ricerca)","WrappedArray(special, ricerca)",50
"",he.s,2009,12,14,10,1101161,5200,WrappedArray(),WrappedArray(),51
2,ja,2009,12,14,10,8393139,5101,WrappedArray(),WrappedArray(),52
wiki,en,2009,12,14,10,180050738,5099,WrappedArray(wiki),WrappedArray(wiki),53
"",ka,2009,12,14,10,2968783,5061,WrappedArray(),WrappedArray(),54
special search,it,2009,12,14,10,32026831,4877,"WrappedArray(special, search)","WrappedArray(special, search)",55
"",hi,2009,12,14,10,2623687,4746,WrappedArray(),WrappedArray(),56
"",mr,2009,12,14,10,1268323,4648,WrappedArray(),WrappedArray(),57
special export,ja,2009,12,14,10,1751921,4486,"WrappedArray(special, export)","WrappedArray(special, export)",58
wikipedia etusivu,fi,2009,12,14,10,56427218,4425,"WrappedArray(wikipedia, etusivu)","WrappedArray(wikipedia, etusivu)",59
"",en.d,2009,12,14,10,728388,4403,WrappedArray(),WrappedArray(),60
dexter tv series,en,2009,12,14,10,199896049,4392,"WrappedArray(dexter, tv, seri)","WrappedArray(dexter, tv, seri)",61
recentchangeslinked,bpy,2009,12,14,10,62772,4315,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),62
special search,nl,2009,12,14,10,20699862,4077,"WrappedArray(special, search)","WrappedArray(special, search)",63
commons quality images subject sports,commons.m,2009,12,14,10,132040743,3972,"WrappedArray(common, qualiti, imag, subject, sport)","WrappedArray(common, qualiti, imag, subject, sport)",64
sp cial page au hasard,fr,2009,12,14,10,2719554,3904,"WrappedArray(sp, cial, page, au, hasard)","WrappedArray(sp, cial, page, au, hasard)",65
"",ru.d,2009,12,14,10,2454309,3725,WrappedArray(),WrappedArray(),66
special export sono umane situazioniquei momenti fra di noii distacchi ed i ritornida capirci niente poigia come vedisto pensando a te  si da un po,nl,2009,12,14,10,0,3683,"WrappedArray(special, export, sono, uman, situazioniquei, momenti, fra, di, noii, distacchi, ed, ritornida, capirci, nient, poigia, come, vedisto, pensando, te, si, da, un, po)","WrappedArray(special, export, sono, uman, situazioniquei, momenti, fra, di, noii, distacchi, ed, ritornida, capirci, nient, poigia, come, vedisto, pensando, te, si, da, po)",67
wikipedia,ja,2009,12,14,10,16470909,3651,WrappedArray(wikipedia),WrappedArray(wikipedia),68
category,zh,2009,12,14,10,1040653,3604,WrappedArray(categori),WrappedArray(categori),69
wei russland,de,2009,12,14,10,3349399,3575,"WrappedArray(wei, russland)","WrappedArray(wei, russland)",70
p gina principal,pt,2009,12,14,10,64409947,3565,"WrappedArray(gina, princip)","WrappedArray(gina, princip)",71
avatar 2009 film,en,2009,12,14,10,189083428,3517,"WrappedArray(avatar, 2009, film)","WrappedArray(avatar, 2009, film)",72
script kiddie,en,2009,12,14,10,49892554,3459,"WrappedArray(script, kiddi)","WrappedArray(script, kiddi)",73
portal technik,de,2009,12,14,10,28360093,3411,"WrappedArray(portal, technik)","WrappedArray(portal, technik)",74
main page,commons.m,2009,12,14,10,62083062,3355,"WrappedArray(main, page)","WrappedArray(main, page)",75
recentchangeslinked,new,2009,12,14,10,63178,3310,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),76
"",ja.d,2009,12,14,10,927933,3189,WrappedArray(),WrappedArray(),77
3,ja,2009,12,14,10,24626037,3143,WrappedArray(),WrappedArray(),78
special recherche,fr,2009,12,14,10,9956339,3097,"WrappedArray(special, recherch)","WrappedArray(special, recherch)",79
stadtbezirk,de,2009,12,14,10,25131743,3050,WrappedArray(stadtbezirk),WrappedArray(stadtbezirk),80
recentchangeslinked,ru.d,2009,12,14,10,97757,2952,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),81
christmas,en,2009,12,14,10,246401620,2901,WrappedArray(christma),WrappedArray(christma),82
wikipedia,zh,2009,12,14,10,44897547,2851,WrappedArray(wikipedia),WrappedArray(wikipedia),83
special watchlist,en,2009,12,14,10,93739873,2773,"WrappedArray(special, watchlist)","WrappedArray(special, watchlist)",84
image oca jpg,commons.m,2009,12,14,10,112440360,2772,"WrappedArray(imag, oca, jpg)","WrappedArray(imag, oca, jpg)",85
"",ta,2009,12,14,10,2134510,2756,WrappedArray(),WrappedArray(),86
philip thicknesse,de,2009,12,14,10,39703467,2678,"WrappedArray(philip, thickness)","WrappedArray(philip, thickness)",87
tiger woods,en,2009,12,14,10,303426593,2657,"WrappedArray(tiger, wood)","WrappedArray(tiger, wood)",88
special search,zh,2009,12,14,10,10041901,2540,"WrappedArray(special, search)","WrappedArray(special, search)",89
ana sayfa,tr,2009,12,14,10,58318583,2534,"WrappedArray(ana, sayfa)","WrappedArray(ana, sayfa)",90
"",ar.s,2009,12,14,10,887962,2501,WrappedArray(),WrappedArray(),91
specjalna szukaj,pl,2009,12,14,10,8237226,2486,"WrappedArray(specjalna, szukaj)","WrappedArray(specjalna, szukaj)",92
"",ml,2009,12,14,10,4265831,2445,WrappedArray(),WrappedArray(),93
eric bana,en,2009,12,14,10,68135339,2443,"WrappedArray(eric, bana)","WrappedArray(eric, bana)",94
index html,en,2009,12,14,10,51653821,2403,"WrappedArray(index, html)","WrappedArray(index, html)",95
random,ru,2009,12,14,10,1818915,2375,WrappedArray(random),WrappedArray(random),96
"",ru.s,2009,12,14,10,1257504,2359,WrappedArray(),WrappedArray(),97
"",el.d,2009,12,14,10,434668,2338,WrappedArray(),WrappedArray(),98
special search,pl,2009,12,14,10,34423945,2329,"WrappedArray(special, search)","WrappedArray(special, search)",99
forside,da,2009,12,14,10,45594477,2299,WrappedArray(forsid),WrappedArray(forsid),100
lady gaga,en,2009,12,14,10,86912941,2289,"WrappedArray(ladi, gaga)","WrappedArray(ladi, gaga)",101
spezial beobachtungsliste,de,2009,12,14,10,96744802,2220,"WrappedArray(spezial, beobachtungslist)","WrappedArray(spezial, beobachtungslist)",102
recentchangeslinked,te,2009,12,14,10,1879,2211,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),103
youtube,en,2009,12,14,10,130177820,2172,WrappedArray(youtub),WrappedArray(youtub),104
special search,ja,2009,12,14,10,8281168,2169,"WrappedArray(special, search)","WrappedArray(special, search)",105
"",bn,2009,12,14,10,1554458,2139,WrappedArray(),WrappedArray(),106
"",zh-yue,2009,12,14,10,1962314,2135,WrappedArray(),WrappedArray(),107
14 dezember,de,2009,12,14,10,98573709,2119,"WrappedArray(14, dezemb)","WrappedArray(14, dezemb)",108
whatlinkshere,te,2009,12,14,10,1824,2052,WrappedArray(whatlinksher),WrappedArray(whatlinksher),109
recentchangeslinked,ru.s,2009,12,14,10,117376,2028,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),110
special autologin,meta.m,2009,12,14,10,3432136,1974,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",111
special autologin,en.q,2009,12,14,10,3841409,1949,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",112
special autologin,en.s,2009,12,14,10,4026927,1947,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",113
special autologin,en.b,2009,12,14,10,9452460,1946,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",114
special autologin,en.d,2009,12,14,10,5481569,1946,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",114
special autologin,en.n,2009,12,14,10,4188684,1941,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",115
special autologin,en.v,2009,12,14,10,2949237,1939,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",116
special autologin,www.w,2009,12,14,10,3847942,1938,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",117
special autologin,species.m,2009,12,14,10,4123494,1937,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",118
special autologin,commons.m,2009,12,14,10,3808620,1914,"WrappedArray(special, autologin)","WrappedArray(special, autologin)",119
4,ja,2009,12,14,10,4396457,1907,WrappedArray(),WrappedArray(),120
kezd lap,hu,2009,12,14,10,46857896,1853,"WrappedArray(kezd, lap)","WrappedArray(kezd, lap)",121
main page,pl,2009,12,14,10,114316231,1816,"WrappedArray(main, page)","WrappedArray(main, page)",122
1,ja,2009,12,14,10,7182588,1780,WrappedArray(),WrappedArray(),123
http 404,en,2009,12,14,10,26032975,1778,"WrappedArray(http, 404)","WrappedArray(http, 404)",124
the x factor uk,en,2009,12,14,10,82748426,1775,"WrappedArray(the, factor, uk)","WrappedArray(factor, uk)",125
michael bubl,en,2009,12,14,10,16087645,1752,"WrappedArray(michael, bubl)","WrappedArray(michael, bubl)",126
"",ko.d,2009,12,14,10,113292,1748,WrappedArray(),WrappedArray(),127
jin,ja,2009,12,14,10,55479776,1728,WrappedArray(jin),WrappedArray(jin),128
"",fr.d,2009,12,14,10,79931,1726,WrappedArray(),WrappedArray(),129
portal,ja,2009,12,14,10,53636746,1705,WrappedArray(portal),WrappedArray(portal),130
image virtues of harmony jpg,en,2009,12,14,10,1036122,1693,"WrappedArray(imag, virtu, of, harmoni, jpg)","WrappedArray(imag, virtu, harmoni, jpg)",131
india,en,2009,12,14,10,181789325,1644,WrappedArray(india),WrappedArray(india),132
deaths in 2009,en,2009,12,14,10,49228888,1627,"WrappedArray(death, in, 2009)","WrappedArray(death, 2009)",133
toiminnot satunnainen sivu,fi,2009,12,14,10,1129297,1626,"WrappedArray(toiminnot, satunnainen, sivu)","WrappedArray(toiminnot, satunnainen, sivu)",134
whatlinkshere,ur,2009,12,14,10,77257,1625,WrappedArray(whatlinksher),WrappedArray(whatlinksher),135
facebook,en,2009,12,14,10,156916645,1621,WrappedArray(facebook),WrappedArray(facebook),136
halaman utama,id,2009,12,14,10,26636421,1613,"WrappedArray(halaman, utama)","WrappedArray(halaman, utama)",137
"",yi,2009,12,14,10,3864179,1611,WrappedArray(),WrappedArray(),138
"",ru.q,2009,12,14,10,2058400,1609,WrappedArray(),WrappedArray(),139
list of dexter episodes,en,2009,12,14,10,68234409,1573,"WrappedArray(list, of, dexter, episod)","WrappedArray(list, dexter, episod)",140
counter js,pl,2009,12,14,10,851281,1569,"WrappedArray(counter, js)","WrappedArray(counter, js)",141
pear,en,2009,12,14,10,120177304,1565,WrappedArray(pear),WrappedArray(pear),142
recentchangeslinked,ur,2009,12,14,10,48388,1565,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),142
whatlinkshere,ru,2009,12,14,10,630198,1559,WrappedArray(whatlinksher),WrappedArray(whatlinksher),143
pen lope cruz,en,2009,12,14,10,4076754,1543,"WrappedArray(pen, lope, cruz)","WrappedArray(pen, lope, cruz)",144
recentchangeslinked,bn,2009,12,14,10,120706,1509,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),145
nhk,ja,2009,12,14,10,5482183,1494,WrappedArray(nhk),WrappedArray(nhk),146
elin nordegren,en,2009,12,14,10,21172003,1493,"WrappedArray(elin, nordegren)","WrappedArray(elin, nordegren)",147
special,zh,2009,12,14,10,2092529,1478,WrappedArray(special),WrappedArray(special),148
recentchangeslinked,th,2009,12,14,10,1380,1472,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),149
paul samuelson,en,2009,12,14,10,63399021,1450,"WrappedArray(paul, samuelson)","WrappedArray(paul, samuelson)",150
silvio berlusconi,en,2009,12,14,10,209188805,1444,"WrappedArray(silvio, berlusconi)","WrappedArray(silvio, berlusconi)",151
av,ja,2009,12,14,10,89450041,1435,WrappedArray(av),WrappedArray(av),152
jumper film,de,2009,12,14,10,22396255,1428,"WrappedArray(jumper, film)","WrappedArray(jumper, film)",153
"",ur,2009,12,14,10,825686,1427,WrappedArray(),WrappedArray(),154
whatlinkshere,ru.s,2009,12,14,10,80563,1413,WrappedArray(whatlinksher),WrappedArray(whatlinksher),155
speciale paginacasuale,it,2009,12,14,10,973998,1404,"WrappedArray(special, paginacasual)","WrappedArray(special, paginacasual)",156
recentchangeslinked,ru,2009,12,14,10,276934,1401,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),157
sex,en,2009,12,14,10,34197901,1378,WrappedArray(sex),WrappedArray(sex),158
x,ja,2009,12,14,10,9087469,1371,WrappedArray(),WrappedArray(),159
jos  jos,en,2009,12,14,10,577217,1352,"WrappedArray(jo, jo)","WrappedArray(jo, jo)",160
wikipedia,en,2009,12,14,10,200875610,1343,WrappedArray(wikipedia),WrappedArray(wikipedia),161
2009,ru,2009,12,14,10,11583606,1333,WrappedArray(2009),WrappedArray(2009),162
united states,en,2009,12,14,10,259586492,1330,"WrappedArray(unit, state)","WrappedArray(unit, state)",163
global warming,en,2009,12,14,10,154592575,1329,"WrappedArray(global, warm)","WrappedArray(global, warm)",164
cardiac tamponade,en,2009,12,14,10,23325323,1318,"WrappedArray(cardiac, tamponad)","WrappedArray(cardiac, tamponad)",165
tomus ad antiochenos,de,2009,12,14,10,56529574,1311,"WrappedArray(tomu, ad, antiocheno)","WrappedArray(tomu, ad, antiocheno)",166
speciaal zoeken,nl,2009,12,14,10,7166348,1311,"WrappedArray(speciaal, zoeken)","WrappedArray(speciaal, zoeken)",166
santa claus,en,2009,12,14,10,84344702,1307,"WrappedArray(santa, clau)","WrappedArray(santa, clau)",167
united kingdom,en,2009,12,14,10,348945740,1306,"WrappedArray(unit, kingdom)","WrappedArray(unit, kingdom)",168
landsitz mount vernon,de,2009,12,14,10,22445807,1300,"WrappedArray(landsitz, mount, vernon)","WrappedArray(landsitz, mount, vernon)",169
special search,sv,2009,12,14,10,4965314,1297,"WrappedArray(special, search)","WrappedArray(special, search)",170
2009,ja,2009,12,14,10,51824682,1279,WrappedArray(2009),WrappedArray(2009),171
portal current events,en,2009,12,14,10,73347437,1276,"WrappedArray(portal, current, event)","WrappedArray(portal, current, event)",172
joe mcelderry,en,2009,12,14,10,49541458,1261,"WrappedArray(joe, mcelderri)","WrappedArray(joe, mcelderri)",173
vollkommene zahl,de,2009,12,14,10,89504551,1259,"WrappedArray(vollkommen, zahl)","WrappedArray(vollkommen, zahl)",174
december 14,en,2009,12,14,10,52372098,1249,"WrappedArray(decemb, 14)","WrappedArray(decemb, 14)",175
glee tv series,en,2009,12,14,10,49055233,1245,"WrappedArray(glee, tv, seri)","WrappedArray(glee, tv, seri)",176
file mtredoubtedit1 jpg,en,2009,12,14,10,22177109,1212,"WrappedArray(file, mtredoubtedit1, jpg)","WrappedArray(file, mtredoubtedit1, jpg)",177
5,ja,2009,12,14,10,3833216,1196,WrappedArray(),WrappedArray(),178
ryan giggs,en,2009,12,14,10,74517251,1193,"WrappedArray(ryan, gigg)","WrappedArray(ryan, gigg)",179
"",kk,2009,12,14,10,890550,1193,WrappedArray(),WrappedArray(),179
paranormal activity film,en,2009,12,14,10,36416079,1187,"WrappedArray(paranorm, activ, film)","WrappedArray(paranorm, activ, film)",180
silvio berlusconi,it,2009,12,14,10,122191140,1186,"WrappedArray(silvio, berlusconi)","WrappedArray(silvio, berlusconi)",181
nekrolog 2009,de,2009,12,14,10,107425931,1185,"WrappedArray(nekrolog, 2009)","WrappedArray(nekrolog, 2009)",182
jpg,ru,2009,12,14,10,362841,1181,WrappedArray(jpg),WrappedArray(jpg),183
californication tv series,en,2009,12,14,10,20807019,1180,"WrappedArray(californ, tv, seri)","WrappedArray(californ, tv, seri)",184
wiktionary main page,en.d,2009,12,14,10,26315914,1173,"WrappedArray(wiktionari, main, page)","WrappedArray(wiktionari, main, page)",185
"",zh.s,2009,12,14,10,1729129,1170,WrappedArray(),WrappedArray(),186
naruto,ja,2009,12,14,10,10391489,1169,WrappedArray(naruto),WrappedArray(naruto),187
i,ru,2009,12,14,10,5736011,1169,WrappedArray(),WrappedArray(),187
2,ru,2009,12,14,10,4887022,1164,WrappedArray(),WrappedArray(),188
whatlinkshere,bpy,2009,12,14,10,90912,1164,WrappedArray(whatlinksher),WrappedArray(whatlinksher),188
wwe tlc,en,2009,12,14,10,29092617,1160,"WrappedArray(wwe, tlc)","WrappedArray(wwe, tlc)",189
fc,ja,2009,12,14,10,6438146,1159,WrappedArray(fc),WrappedArray(fc),190
avatar,en,2009,12,14,10,27625319,1158,WrappedArray(avatar),WrappedArray(avatar),191
george washington,de,2009,12,14,10,72099417,1152,"WrappedArray(georg, washington)","WrappedArray(georg, washington)",192
"",be,2009,12,14,10,398203,1151,WrappedArray(),WrappedArray(),193
united arab emirates,en,2009,12,14,10,138467275,1146,"WrappedArray(unit, arab, emir)","WrappedArray(unit, arab, emir)",194
sheamus o shaunessy,en,2009,12,14,10,34601806,1137,"WrappedArray(sheamu, shaunessi)","WrappedArray(sheamu, shaunessi)",195
taylor lautner,en,2009,12,14,10,15553496,1125,"WrappedArray(taylor, lautner)","WrappedArray(taylor, lautner)",196
fiodor jemieljanienko,pl,2009,12,14,10,25542710,1122,"WrappedArray(fiodor, jemieljanienko)","WrappedArray(fiodor, jemieljanienko)",197
michael jackson,en,2009,12,14,10,138291702,1122,"WrappedArray(michael, jackson)","WrappedArray(michael, jackson)",197
dubai,en,2009,12,14,10,94958788,1112,WrappedArray(dubai),WrappedArray(dubai),198
stargate universe,en,2009,12,14,10,27349135,1110,"WrappedArray(stargat, univers)","WrappedArray(stargat, univers)",199
specjalna losowa strona,pl,2009,12,14,10,764554,1097,"WrappedArray(specjalna, losowa, strona)","WrappedArray(specjalna, losowa, strona)",200
"",ja,2010,01,16,06,757021687,1519546,WrappedArray(),WrappedArray(),1
special search,en,2010,01,16,06,743961097,220252,"WrappedArray(special, search)","WrappedArray(special, search)",2
main page,en,2010,01,16,06,2877434345,176291,"WrappedArray(main, page)","WrappedArray(main, page)",3
"",ru,2010,01,16,06,199880937,167292,WrappedArray(),WrappedArray(),4
special random,en,2010,01,16,06,52615449,87997,"WrappedArray(special, random)","WrappedArray(special, random)",5
"",zh,2010,01,16,06,32930273,85026,WrappedArray(),WrappedArray(),6
404 error,en,2010,01,16,06,208734719,67735,"WrappedArray(404, error)","WrappedArray(404, error)",7
"",th,2010,01,16,06,20185085,56805,WrappedArray(),WrappedArray(),8
"",ko,2010,01,16,06,24517160,34302,WrappedArray(),WrappedArray(),9
special export 122 tr  n   nh xu,vi,2010,01,16,06,19885860,32158,"WrappedArray(special, export, 122, tr, nh, xu)","WrappedArray(special, export, 122, tr, nh, xu)",10
category,ja,2010,01,16,06,2830089,30026,WrappedArray(categori),WrappedArray(categori),11
special export washington d c,en,2010,01,16,06,71301737,29550,"WrappedArray(special, export, washington)","WrappedArray(special, export, washington)",12
export,ja,2010,01,16,06,35544,27805,WrappedArray(export),WrappedArray(export),13
"",ar,2010,01,16,06,19365864,26151,WrappedArray(),WrappedArray(),14
search,ja,2010,01,16,06,14140501,24058,WrappedArray(search),WrappedArray(search),15
haiti,en,2010,01,16,06,1226606385,22983,WrappedArray(haiti),WrappedArray(haiti),16
search,en,2010,01,16,06,11594173,19294,WrappedArray(search),WrappedArray(search),17
"",he,2010,01,16,06,6564832,18488,WrappedArray(),WrappedArray(),18
"",fa,2010,01,16,06,12100261,18458,WrappedArray(),WrappedArray(),19
pagina principale,it,2010,01,16,06,1412495013,17156,"WrappedArray(pagina, principal)","WrappedArray(pagina, principal)",20
"",uk,2010,01,16,06,3117967,12039,WrappedArray(),WrappedArray(),21
special export same,en,2010,01,16,06,28206592,11992,"WrappedArray(special, export, same)","WrappedArray(special, export)",22
wikipedia portada,es,2010,01,16,06,213089750,10856,"WrappedArray(wikipedia, portada)","WrappedArray(wikipedia, portada)",23
wikipedia hauptseite,de,2010,01,16,06,98624488,7675,"WrappedArray(wikipedia, hauptseit)","WrappedArray(wikipedia, hauptseit)",24
"",bg,2010,01,16,06,3332176,7567,WrappedArray(),WrappedArray(),25
special export,ja,2010,01,16,06,1978177,7370,"WrappedArray(special, export)","WrappedArray(special, export)",26
avatar 2009 film,en,2010,01,16,06,434487485,7190,"WrappedArray(avatar, 2009, film)","WrappedArray(avatar, 2009, film)",27
hait,es,2010,01,16,06,177163920,6594,WrappedArray(hait),WrappedArray(hait),28
2010 haiti earthquake,en,2010,01,16,06,279287018,6443,"WrappedArray(2010, haiti, earthquak)","WrappedArray(2010, haiti, earthquak)",29
special search,es,2010,01,16,06,33161310,5564,"WrappedArray(special, search)","WrappedArray(special, search)",30
"",el,2010,01,16,06,1924240,5528,WrappedArray(),WrappedArray(),31
"",sr,2010,01,16,06,1365141,5471,WrappedArray(),WrappedArray(),32
sp cial pages li es,fr.d,2010,01,16,06,22693,5318,"WrappedArray(sp, cial, page, li, es)","WrappedArray(sp, cial, page, li, es)",33
2,ja,2010,01,16,06,6070016,5097,WrappedArray(),WrappedArray(),34
index html,en,2010,01,16,06,55845868,5058,"WrappedArray(index, html)","WrappedArray(index, html)",35
conan o brien,en,2010,01,16,06,183237564,5026,"WrappedArray(conan, brien)","WrappedArray(conan, brien)",36
"",en,2010,01,16,06,8186301,4971,WrappedArray(),WrappedArray(),37
lady gaga,en,2010,01,16,06,172828467,4944,"WrappedArray(ladi, gaga)","WrappedArray(ladi, gaga)",38
the book of eli,en,2010,01,16,06,60239321,4940,"WrappedArray(the, book, of, eli)","WrappedArray(book, eli)",39
"",hi,2010,01,16,06,2245951,4562,WrappedArray(),WrappedArray(),40
whatlinkshere,ru,2010,01,16,06,365021,4259,WrappedArray(whatlinksher),WrappedArray(whatlinksher),41
"",en.d,2010,01,16,06,203217,4254,WrappedArray(),WrappedArray(),42
mary lynn rajskub,en,2010,01,16,06,46530624,4190,"WrappedArray(mari, lynn, rajskub)","WrappedArray(mari, lynn, rajskub)",43
jeff bridges,en,2010,01,16,06,66415942,4175,"WrappedArray(jeff, bridg)","WrappedArray(jeff, bridg)",44
wikipedia,ja,2010,01,16,06,14577832,4038,WrappedArray(wikipedia),WrappedArray(wikipedia),45
terremoto de hait  de 2010,es,2010,01,16,06,163988454,3846,"WrappedArray(terremoto, de, hait, de, 2010)","WrappedArray(terremoto, hait, 2010)",46
wikip dia accueil principal,fr,2010,01,16,06,71901154,3730,"WrappedArray(wikip, dia, accueil, princip)","WrappedArray(wikip, dia, accueil, princip)",47
special search,ru,2010,01,16,06,17775223,3621,"WrappedArray(special, search)","WrappedArray(special, search)",48
wiki,en,2010,01,16,06,79838594,3517,WrappedArray(wiki),WrappedArray(wiki),49
special watchlist,en,2010,01,16,06,119570794,3478,"WrappedArray(special, watchlist)","WrappedArray(special, watchlist)",50
solar eclipse of january 15 2010,en,2010,01,16,06,89366563,3395,"WrappedArray(solar, eclips, of, januari, 15, 2010)","WrappedArray(solar, eclips, januari, 15, 2010)",51
special search,de,2010,01,16,06,27115441,3248,"WrappedArray(special, search)","WrappedArray(special, search)",52
special recentchangeslinked,en.d,2010,01,16,06,20630,3236,"WrappedArray(special, recentchangeslink)","WrappedArray(special, recentchangeslink)",53
http 404,en,2010,01,16,06,56442893,3075,"WrappedArray(http, 404)","WrappedArray(http, 404)",54
3,ja,2010,01,16,06,22703431,3073,WrappedArray(),WrappedArray(),55
script kiddie,en,2010,01,16,06,81363580,3005,"WrappedArray(script, kiddi)","WrappedArray(script, kiddi)",56
sp cial whatlinkshere,fr.d,2010,01,16,06,741,2940,"WrappedArray(sp, cial, whatlinksher)","WrappedArray(sp, cial, whatlinksher)",57
special whatlinkshere,en.d,2010,01,16,06,23477,2936,"WrappedArray(special, whatlinksher)","WrappedArray(special, whatlinksher)",58
"",mk,2010,01,16,06,858280,2929,WrappedArray(),WrappedArray(),59
"",bg.d,2010,01,16,06,78085,2896,WrappedArray(),WrappedArray(),60
recentchangeslinked,ru,2010,01,16,06,133932,2869,WrappedArray(recentchangeslink),WrappedArray(recentchangeslink),61
"",mr,2010,01,16,06,798545,2839,WrappedArray(),WrappedArray(),62
"",te,2010,01,16,06,639116,2817,WrappedArray(),WrappedArray(),63
spezial zuf llige seite,de,2010,01,16,06,1888140,2808,"WrappedArray(spezial, zuf, llige, seit)","WrappedArray(spezial, zuf, llige, seit)",64
jersey shore tv series,en,2010,01,16,06,90939205,2738,"WrappedArray(jersey, shore, tv, seri)","WrappedArray(jersey, shore, tv, seri)",65
port au prince,en,2010,01,16,06,53604133,2710,"WrappedArray(port, au, princ)","WrappedArray(port, au, princ)",66
"",he.s,2010,01,16,06,232640,2702,WrappedArray(),WrappedArray(),67
one piece,ja,2010,01,16,06,36394459,2696,"WrappedArray(one, piec)",WrappedArray(piec),68
"",ta,2010,01,16,06,1282825,2693,WrappedArray(),WrappedArray(),69
"",ka,2010,01,16,06,975399,2613,WrappedArray(),WrappedArray(),70
