"pagename","projectcode","year","month","day","bytes","pageviews","day_rank"
ricky gervais,en,2009,12,14,131004770,3222,133
danny kaye,en,2009,12,14,70320094,3221,134
pen lope cruz,en,2009,12,14,5566729,3199,135
4,ja,2009,12,14,4396457,3192,136
the x factor uk,en,2009,12,14,82748426,3191,137
special autologin,commons.m,2009,12,14,3808620,3175,138
index html,en,2009,12,14,51653821,3170,139
ana sayfa,tr,2009,12,14,58318583,3169,140
whatlinkshere,ru,2009,12,14,630198,3139,141
taylor swift,en,2009,12,14,93279018,3132,142
bing crosby,en,2009,12,14,95757731,3124,143
eli manning,en,2009,12,14,189036124,3115,144
julia child,en,2009,12,14,56548610,3113,145
michael jackson,en,2009,12,14,165838301,3111,146
1,ja,2009,12,14,7182588,3090,147
vera ellen,en,2009,12,14,28594485,3059,148
http 404,en,2009,12,14,26032975,3056,149
stadtbezirk,de,2009,12,14,25131743,3052,150
the cleveland show,en,2009,12,14,51322743,3049,151
pear,en,2009,12,14,120177304,3046,152
avatar,en,2009,12,14,36134713,3037,153
file mtredoubtedit1 jpg,en,2009,12,14,29000900,3035,154
recentchangeslinked,ru,2009,12,14,276934,3007,155
india,en,2009,12,14,181789325,3005,156
miley cyrus,en,2009,12,14,77864278,2944,157
philip thicknesse,de,2009,12,14,39703467,2868,158
lil wayne,en,2009,12,14,63990680,2845,159
family guy,en,2009,12,14,81440559,2822,160
portal current events,en,2009,12,14,73347437,2815,161
list of family guy episodes,en,2009,12,14,52202753,2814,162
spezial beobachtungsliste,de,2009,12,14,96744802,2814,162
paul samuelson,en,2009,12,14,63399021,2796,163
santa claus,en,2009,12,14,84344702,2789,164
andy williams,en,2009,12,14,63106464,2782,165
"",fr.d,2009,12,14,240893,2765,166
jos  jos,en,2009,12,14,703233,2756,167
random,ru,2009,12,14,1818915,2753,168
faith hill,en,2009,12,14,80870242,2753,168
catherine zeta jones,en,2009,12,14,51103277,2748,169
wikipedia,en,2009,12,14,200875610,2716,170
recentchangeslinked,ru.s,2009,12,14,117376,2709,171
fargo film,en,2009,12,14,62691363,2698,172
halaman utama,id,2009,12,14,26636421,2693,173
susan boyle,en,2009,12,14,75113029,2673,174
list of dexter episodes,en,2009,12,14,68234409,2616,175
ufc 108,en,2009,12,14,25765381,2603,176
sex,en,2009,12,14,34197901,2603,176
nhk,ja,2009,12,14,5482183,2602,177
export,ru,2009,12,14,34282748,2594,178
recentchangeslinked,te,2009,12,14,2029,2568,179
special search,pl,2009,12,14,34423945,2564,180
whatlinkshere,te,2009,12,14,1928,2563,181
x,ja,2009,12,14,17228568,2521,182
star trek film,en,2009,12,14,123197635,2508,183
wiktionary main page,en.d,2009,12,14,26315914,2494,184
forside,da,2009,12,14,45594477,2483,185
12  14,ja,2009,12,14,63282091,2474,186
world war ii,en,2009,12,14,159071269,2471,187
2009,ja,2009,12,14,51824682,2470,188
nelson mandela,en,2009,12,14,165847575,2470,188
lolita,en,2009,12,14,58879492,2450,189
special,zh,2009,12,14,2092529,2445,190
joe mcelderry,en,2009,12,14,49541458,2427,191
united kingdom,en,2009,12,14,348945740,2404,192
"",zh.s,2009,12,14,1729131,2401,193
global warming,en,2009,12,14,154592575,2388,194
toiminnot satunnainen sivu,fi,2009,12,14,1129297,2370,195
"",ru.q,2009,12,14,2058400,2353,196
sirenomelia,en,2009,12,14,32700149,2344,197
av,ja,2009,12,14,89450041,2344,197
justin bieber,en,2009,12,14,32556607,2302,198
modern warfare 2,en,2009,12,14,53612509,2297,199
2012 film,en,2009,12,14,32548284,2291,200
